DHL Daily Fantasy Cheet Sheet,,DailyHockeyLineups.com,,,,
,DraftKings,,,,,
,"Sidney Crosby, Value: 71.2","Jeff Carter, Value: 60.2","Nathan MacKinnon, Value: 62.9","Ryan Spooner, Value: 51.9","Nic Dowd, Value: 72.1",
,"John Tavares, Value: 70.4",,"David Krejci, Value: 50.5","Nico Hischier, Value: 0.0","Tyson Jost, Value: 61.0",
,Top 5 Wingers (PV),,,,,
,"Taylor Hall, Value: 65.2","Jake Guentzel, Value: 96.0","Anders Lee, Value: 95.7","Gabriel Landeskog, Value: 96.2","Josh Leivo, Value: 136.0",
,"Alex Ovechkin, Value: 61.3","Jordan Eberle, Value: 84.2","Mikko Rantanen, Value: 83.8","Kris Versteeg, Value: 89.5","Jaromir Jagr, Value: 111.8",
,"Johnny Gaudreau, Value: 61.2","T.J. Oshie, Value: 64.4","James van Riemsdyk, Value: 77.7","Josh Bailey, Value: 80.5","Sven Andrighetto, Value: 106.8",
,"Phil Kessel, Value: 60.3","William Nylander, Value: 59.8","Kyle Palmieri, Value: 67.1","Conor Sheary, Value: 72.8","Jonny Brodzinski, Value: 96.9",
,"Brad Marchand, Value: 60.1","Corey Perry, Value: 59.8","Patrick Marleau, Value: 57.0","Michael Frolik, Value: 69.7","Tom Kuhnhackl, Value: 89.4",
,Top 5 Defenceman (PV),,,,,
,,"Mark Giordano, Value: 75.6","Drew Doughty, Value: 73.1","Zdeno Chara, Value: 100.0","John Moore, Value: 117.3",
,,"Kris Letang, Value: 73.6","John Carlson, Value: 65.8","Justin Schultz, Value: 88.9","Francois Beauchemin, Value: 106.9",
,,,"Torey Krug, Value: 58.7","Nick Leddy, Value: 77.4","Roman Polak, Value: 102.0",
,,,"Dougie Hamilton, Value: 55.3","Cam Fowler, Value: 75.2","Adam Pelech, Value: 93.4",
,,,,"Jake Muzzin, Value: 73.6","Michael Stone, Value: 89.0",
,,,,,,
,High Ceiling Centers,,,,,
,"Auston Matthews, Ceiling: 57.6","Nicklas Backstrom, Ceiling: 57.0","Tyler Bozak, Ceiling: 43.7","Matt Duchene, Ceiling: 41.6","Nick Shore, Ceiling: 42.4",
,"John Tavares, Ceiling: 47.2","Jeff Carter, Ceiling: 46.9","Mikael Backlund, Ceiling: 38.1","Brock Nelson, Ceiling: 38.4","Jay Beagle, Ceiling: 40.0",
,"Sidney Crosby, Ceiling: 45.6","Rickard Rakell, Ceiling: 40.5","David Krejci, Ceiling: 36.8","Adam Henrique, Ceiling: 32.8","Sam Bennett, Ceiling: 31.7",
,"Evgeni Malkin, Ceiling: 44.5","Nazem Kadri, Ceiling: 35.2","Anze Kopitar, Ceiling: 36.5","Ryan Spooner, Ceiling: 31.7","Matt Stajan, Ceiling: 31.2",
,"Sean Monahan, Ceiling: 43.9",,"Nathan MacKinnon, Ceiling: 30.1","Nico Hischier, Ceiling: 0","Riley Nash, Ceiling: 30.4",
,High Ceiling Wingers,,,,,
,"Brad Marchand, Ceiling: 60.8","T.J. Oshie, Ceiling: 52.5","Patrick Marleau, Ceiling: 57.6","Bryan Rust, Ceiling: 52.0","Michael Cammalleri, Ceiling: 50.9",
,"Alex Ovechkin, Ceiling: 55.1","Jordan Eberle, Ceiling: 50.1","James van Riemsdyk, Ceiling: 50.4","Jakob Silfverberg, Ceiling: 46.4","Connor Brown, Ceiling: 49.6",
,"David Pastrnak, Ceiling: 52.8","William Nylander, Ceiling: 42.9","Mikko Rantanen, Ceiling: 41.3","Conor Sheary, Ceiling: 40.0","Josh Leivo, Ceiling: 36.5",
,"Johnny Gaudreau, Ceiling: 42.1","Corey Perry, Ceiling: 40.5","Anders Lee, Ceiling: 40.5","Tanner Pearson, Ceiling: 38.9","Jaromir Jagr, Ceiling: 34.4",
,"Taylor Hall, Ceiling: 41.0","Mitchell Marner, Ceiling: 34.4","Tyler Toffoli, Ceiling: 36.8","Marcus Johansson, Ceiling: 38.9","Miles Wood, Ceiling: 34.1",
,High Ceiling Defenceman,,,,,
,,"Mark Giordano, Ceiling: 37.6","Dougie Hamilton, Ceiling: 45.3","Morgan Rielly, Ceiling: 46.6","Travis Hamonic, Ceiling: 36.5",
,,"Kris Letang, Ceiling: 35.7","John Carlson, Ceiling: 40.0","Erik Johnson, Ceiling: 39.2","John Moore, Ceiling: 35.7",
,,,"Torey Krug, Ceiling: 37.0","Nick Leddy, Ceiling: 36.0","Dmitry Orlov, Ceiling: 34.1",
,,,"Drew Doughty, Ceiling: 31.7","Matt Niskanen, Ceiling: 35.7","Michael Stone, Ceiling: 33.0",
,,,,"Jake Muzzin, Ceiling: 35.7","Andy Greene, Ceiling: 32.8",
,,,,,,
,High Floor Centers,,,,,
,"Ryan Getzlaf, Floor: 11.2","Rickard Rakell, Floor: 3.2","Mikael Backlund, Floor: 4.8","Brock Nelson, Floor: 3.2","Freddie Hamilton, Floor: 1.6",
,"John Tavares, Floor: 3.2","Nazem Kadri, Floor: 1.6","Anze Kopitar, Floor: 3.2","Adam Henrique, Floor: 3.2","Tyler Graovac, Floor: 1.6",
,"Evgeni Malkin, Floor: 3.2","Jeff Carter, Floor: 0.0","Tyler Bozak, Floor: 1.6","Matt Duchene, Floor: 3.2","Logan Shaw, Floor: 1.6",
,"Auston Matthews, Floor: 3.2","Nicklas Backstrom, Floor: 0.0","Nathan MacKinnon, Floor: 1.6","Ryan Spooner, Floor: 0.0","Casey Cizikas, Floor: 1.6",
,"Evgeny Kuznetsov, Floor: 1.6",,"David Krejci, Floor: 1.6","Nico Hischier, Floor: 0","Nick Shore, Floor: 1.6",
,High Floor Wingers,,,,,
,"Phil Kessel, Floor: 11.2","Jake Guentzel, Floor: 16.8","Anders Lee, Floor: 11.2","Kris Versteeg, Floor: 8.0","Sven Andrighetto, Floor: 9.6",
,"Taylor Hall, Floor: 4.8","Jordan Eberle, Floor: 6.4","Mikko Rantanen, Floor: 8.0","Gabriel Landeskog, Floor: 6.4","Michael Cammalleri, Floor: 4.8",
,"Johnny Gaudreau, Floor: 4.8","Corey Perry, Floor: 3.2","James van Riemsdyk, Floor: 3.2","Josh Bailey, Floor: 3.2","Jonny Brodzinski, Floor: 3.2",
,"Alex Ovechkin, Floor: 4.8","T.J. Oshie, Floor: 3.2","Kyle Palmieri, Floor: 1.6","Bryan Rust, Floor: 3.2","Eric Fehr, Floor: 3.2",
,"David Pastrnak, Floor: 0.0","William Nylander, Floor: 1.6","Patrick Marleau, Floor: 0.0","Tanner Pearson, Floor: 3.2","Tom Kuhnhackl, Floor: 3.2",
,High Floor Defenceman,,,,,
,,"Kris Letang, Floor: 6.4","Drew Doughty, Floor: 3.2","Nick Leddy, Floor: 9.6","Francois Beauchemin, Floor: 6.4",
,,"Mark Giordano, Floor: 3.2","John Carlson, Floor: 3.2","Justin Schultz, Floor: 4.8","Adam McQuaid, Floor: 4.8",
,,,"Dougie Hamilton, Floor: 1.6","Tyson Barrie, Floor: 4.8","Adam Pelech, Floor: 4.8",
,,,"Torey Krug, Floor: 1.6","Cam Fowler, Floor: 4.8","Dennis Seidenberg, Floor: 4.8",
,,,,"Zdeno Chara, Floor: 3.2","Rasmus Andersson, Floor: 3.2",
,,,,,,
,Goalies,,,,,
,Top 5 Goalies (PV),,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
